date,ticker,price,decision,reason,sentiment,rsi,confidence
2025-12-23,DOT-USDT,1.765,hold,"Neutral (score=-1.3, signals=3)",0.150,30.06,0.600
2025-12-23,ETH-USDT,2965.02,sell,"SELL: score=-8.1 [RSI_bias:+0.1, MACD_neg:-6.0, Sent:-2.2]",-0.100,45.88,0.200
2025-12-23,LTC-USDT,77.01,buy,"BUY: score=36.6, signals=5 [RSI_bias:+0.3, MACD_pos:+10.0, Sent:+14.3, LLM_buy:+12.0]",0.650,38.72,0.400
2025-12-23,SOL-USDT,124.01,sell,"SELL: score=-22.1 [RSI_bias:+0.2, MACD_neg:-6.0, Sent:-3.3, LLM_sell:-12.0, Vol:-1.0]",-0.150,41.58,0.600
2025-12-23,XRP-USDT,1.8734,sell,"SELL: score=-6.1 [RSI_bias:+0.3, MACD_neg:-6.0, BB_low:+0.0, Sent:+0.0, Vol:-0.4]",0.000,39.08,0.400
2025-12-24,ADA-USDT,0.3566,sell,"SELL: score=-8.9 [RSI_bias:+0.4, MACD_neg:-6.0, BB_low:+0.4, Sent:+0.0, Vol:-3.7]",0.000,35.12,0.400
2025-12-24,BNB-USDT,846.58,sell,"SELL: score=-21.1 [RSI_bias:+0.2, MACD_neg:-6.0, Sent:-3.3, LLM_sell:-12.0]",-0.150,41.87,0.600
2025-12-24,BTC-USDT,87669.45,sell,"SELL: score=-24.4 [RSI_bias:+0.2, MACD_neg:-6.0, Sent:-6.6, LLM_sell:-12.0]",-0.300,43.74,0.400
2025-12-24,DOGE-USDT,0.12856,hold,"Neutral (score=10.5, signals=3)",0.200,40.24,0.600
2025-12-24,DOT-USDT,1.738,hold,"Neutral (score=6.4, signals=3)",0.150,29.08,0.600
2025-12-24,ETH-USDT,2947.47,sell,"SELL: score=-24.5 [RSI_bias:+0.1, MACD_neg:-6.0, Sent:-6.6, LLM_sell:-12.0]",-0.300,44.93,0.400
2025-12-24,LTC-USDT,75.79,hold,"Neutral (score=30.0, signals=5)",0.350,36.69,0.600
2025-12-24,SOL-USDT,122.53,sell,"SELL: score=-19.6 [RSI_bias:+0.2, MACD_neg:-6.0, BB_low:+1.5, Sent:-3.3, LLM_sell:-12.0]",-0.150,40.01,0.600
2025-12-24,XRP-USDT,1.8628,hold,"Neutral (score=-5.6, signals=2)",0.000,38.39,0.400
2025-12-25,ADA-USDT,0.3434,hold,"Neutral (score=12.7, signals=4)",0.300,32.45,0.600
2025-12-25,BNB-USDT,829.64,sell,"SELL: score=-12.3 [RSI_bias:+0.3, MACD_neg:-6.0, BB_low:+5.4, Sent:+0.0, LLM_sell:-12.0]",-0.000,38.18,0.600
2025-12-25,BTC-USDT,87225.27,sell,"SELL: score=-21.1 [RSI_bias:+0.2, MACD_neg:-6.0, Sent:-3.3, LLM_sell:-12.0]",-0.150,42.52,0.600
2025-12-25,DOGE-USDT,0.12365,hold,"Neutral (score=4.3, signals=3)",0.150,36.49,0.400
2025-12-25,DOT-USDT,1.685,hold,"Neutral (score=16.1, signals=4)",0.300,27.21,0.600
2025-12-25,ETH-USDT,2903.95,sell,"SELL: score=-21.1 [RSI_bias:+0.2, MACD_neg:-6.0, Sent:-3.3, LLM_sell:-12.0]",-0.150,42.57,0.600
2025-12-25,LTC-USDT,75.71,buy,"BUY: score=30.0, signals=5 [RSI_bias:+0.3, MACD_pos:+10.0, Sent:+7.7, LLM_buy:+12.0]",0.350,36.55,0.600
2025-12-25,SOL-USDT,120.06,sell,"SELL: score=-13.3 [RSI_bias:+0.3, MACD_neg:-6.0, BB_low:+4.4, Sent:+0.0, LLM_sell:-12.0]",-0.000,37.46,0.600
2025-12-25,XRP-USDT,1.8326,hold,"Neutral (score=-3.4, signals=2)",0.000,36.44,0.400
2025-12-26,ADA-USDT,0.3496,hold,"Neutral (score=-2.3, signals=3)",0.150,34.95,0.600
2025-12-26,BNB-USDT,834.72,sell,"SELL: score=-19.9 [RSI_bias:+0.2, MACD_neg:-6.0, BB_low:+1.2, Sent:-3.3, LLM_sell:-12.0]",-0.150,39.89,0.600
2025-12-26,BTC-USDT,87369.56,sell,"SELL: score=-24.4 [RSI_bias:+0.2, MACD_neg:-6.0, Sent:-6.6, LLM_sell:-12.0]",-0.300,43.07,0.400
2025-12-26,DOGE-USDT,0.12211,hold,"Neutral (score=9.0, signals=3)",0.150,35.37,0.400
2025-12-26,DOT-USDT,1.723,buy,"BUY: score=30.2, signals=5 [RSI_bias:+0.5, MACD_pos:+10.0, Sent:+7.7, LLM_buy:+12.0]",0.350,30.65,0.800
2025-12-26,ETH-USDT,2927.99,sell,"SELL: score=-24.5 [RSI_bias:+0.1, MACD_neg:-6.0, Sent:-6.6, LLM_sell:-12.0]",-0.300,44.31,0.400
2025-12-26,LTC-USDT,76.87,buy,"BUY: score=21.2, signals=3 [RSI_bias:+0.2, MACD_pos:+10.0, Sent:+11.0]",0.500,40.01,0.200
2025-12-26,SOL-USDT,122.26,sell,"SELL: score=-21.1 [RSI_bias:+0.2, MACD_neg:-6.0, Sent:-3.3, LLM_sell:-12.0]",-0.150,41.06,0.600
2025-12-26,XRP-USDT,1.8437,hold,"Neutral (score=-5.7, signals=2)",0.000,37.69,0.400
2025-12-27,ADA-USDT,0.37,hold,"Neutral (score=-3.9, signals=2)",0.150,42.49,0.100
2025-12-27,BNB-USDT,845.04,sell,"SELL: score=-24.4 [RSI_bias:+0.2, MACD_neg:-6.0, Sent:-6.6, LLM_sell:-12.0]",-0.300,43.32,0.400
2025-12-27,BTC-USDT,87877.01,sell,"SELL: score=-8.1 [RSI_bias:+0.1, MACD_neg:-6.0, Sent:-2.2]",-0.100,45.09,0.200
2025-12-27,DOGE-USDT,0.12435,hold,"Neutral (score=1.8, signals=2)",0.000,38.32,0.400
2025-12-27,DOT-USDT,1.91,buy,"BUY: score=12.3, signals=2 [RSI_bias:+0.1, MACD_pos:+10.0, Sent:+11.0, Vol:-8.8]",0.500,44.56,0.200
2025-12-27,ETH-USDT,2949.05,sell,"SELL: score=-26.7 [RSI_bias:+0.1, MACD_neg:-6.0, Sent:-8.8, LLM_sell:-12.0]",-0.400,45.85,0.400
2025-12-27,LTC-USDT,80.33,hold,"Neutral (score=18.8, signals=2)",0.400,48.94,0.200
2025-12-27,SOL-USDT,124.73,hold,"Neutral (score=-5.9, signals=1)",0.000,44.89,0.200
2025-12-27,XRP-USDT,1.8735,hold,"Neutral (score=-2.5, signals=2)",0.150,41.07,0.100
2025-12-28,ADA-USDT,0.3688,buy,"BUY: score=17.0, signals=3 [RSI_bias:+0.2, MACD_pos:+10.0, Sent:+7.7, Vol:-0.9]",0.350,42.18,0.200
2025-12-28,BNB-USDT,859.32,sell,"SELL: score=-8.1 [RSI_bias:+0.1, MACD_neg:-6.0, Sent:-2.2]",-0.100,47.76,0.200
2025-12-28,BTC-USDT,87952.71,sell,"SELL: score=-8.1 [RSI_bias:+0.1, MACD_neg:-6.0, Sent:-2.2]",-0.100,45.40,0.200
2025-12-28,DOGE-USDT,0.12393,hold,"Neutral (score=1.8, signals=2)",0.000,37.97,0.400
2025-12-28,DOT-USDT,1.851,hold,"Neutral (score=11.7, signals=2)",0.500,41.72,0.200
2025-12-28,ETH-USDT,2950.91,sell,"SELL: score=-8.1 [RSI_bias:+0.1, MACD_neg:-6.0, Sent:-2.2]",-0.100,46.00,0.200
2025-12-28,LTC-USDT,78.73,buy,"BUY: score=18.9, signals=2 [RSI_bias:+0.1, MACD_pos:+10.0, Sent:+8.8]",0.400,45.56,0.200
2025-12-28,SOL-USDT,125.27,hold,"Neutral (score=-4.8, signals=0)",0.050,45.72,0.100
2025-12-28,XRP-USDT,1.8654,buy,"BUY: score=17.9, signals=3 [RSI_bias:+0.2, MACD_pos:+10.0, Sent:+7.7]",0.350,40.42,0.200
2025-12-29,ADA-USDT,0.3532,hold,"Neutral (score=9.9, signals=3)",0.100,38.28,0.600
2025-12-29,BNB-USDT,852.46,sell,"SELL: score=-8.1 [RSI_bias:+0.1, MACD_neg:-6.0, Sent:-2.2]",-0.100,45.90,0.200
2025-12-29,BTC-USDT,87237.13,sell,"SELL: score=-24.4 [RSI_bias:+0.2, MACD_neg:-6.0, Sent:-6.6, LLM_sell:-12.0]",-0.300,42.93,0.400
2025-12-29,DOGE-USDT,0.12288,hold,"Neutral (score=1.8, signals=2)",0.000,37.06,0.400
2025-12-29,DOT-USDT,1.824,hold,"Neutral (score=11.6, signals=2)",0.500,40.45,0.200
2025-12-29,ETH-USDT,2937.9,sell,"SELL: score=-26.7 [RSI_bias:+0.1, MACD_neg:-6.0, Sent:-8.8, LLM_sell:-12.0]",-0.400,45.10,0.400
2025-12-29,LTC-USDT,78.32,buy,"BUY: score=21.1, signals=2 [RSI_bias:+0.1, MACD_pos:+10.0, Sent:+11.0]",0.500,44.71,0.200
2025-12-29,SOL-USDT,123.28,buy,"BUY: score=21.2, signals=3 [RSI_bias:+0.2, MACD_pos:+10.0, Sent:+11.0]",0.500,43.14,0.200
2025-12-29,XRP-USDT,1.8508,buy,"BUY: score=14.7, signals=4 [RSI_bias:+0.3, MACD_pos:+10.0, Sent:+4.4]",0.200,39.24,0.600
2025-12-30,ADA-USDT,0.3514,buy,"BUY: score=12.5, signals=4 [RSI_bias:+0.3, MACD_pos:+10.0, Sent:+4.4, Vol:-2.2]",0.200,37.84,0.600
2025-12-30,BNB-USDT,861.65,hold,"Neutral (score=18.8, signals=2)",0.400,48.78,0.200
2025-12-30,BTC-USDT,88485.49,hold,"Neutral (score=18.8, signals=2)",0.400,48.22,0.200
2025-12-30,DOGE-USDT,0.12336,buy,"BUY: score=14.7, signals=4 [RSI_bias:+0.3, MACD_pos:+10.0, Sent:+4.4]",0.200,37.80,0.600
2025-12-30,DOT-USDT,1.811,hold,"Neutral (score=11.7, signals=3)",0.500,39.82,0.200
2025-12-30,ETH-USDT,2973.69,sell,"SELL: score=-8.2 [RSI_bias:+0.0, MACD_neg:-6.0, Sent:-2.2]",-0.100,48.09,0.200
2025-12-30,LTC-USDT,78.89,buy,"BUY: score=18.9, signals=2 [RSI_bias:+0.1, MACD_pos:+10.0, Sent:+8.8]",0.400,46.22,0.200
2025-12-30,SOL-USDT,125.01,buy,"BUY: score=18.9, signals=2 [RSI_bias:+0.1, MACD_pos:+10.0, Sent:+8.8]",0.400,45.99,0.200
